SampleID,Sequencing_Set,16S_18S,Project,Location,Site,Exp_Day,Type_1,Type_2,Type_3,Form,pH,Volume,DNA_conc,Nep_Sar,DNAext_set
Sl34,2,16S,Comparison,Gulf_Coast,EB2,NA,pitcher,Sarracenia,leucophylla,tall,8.5,0.2,18.546,Sar_nat,Yes
Sl36,2,both,Comparison,Gulf_Coast,EB2,NA,pitcher,Sarracenia,leucophylla,tall,8.5,0.4,21.504,Sar_nat,Yes
Sl37,2,16S,Comparison,Gulf_Coast,EB2,NA,pitcher,Sarracenia,leucophylla,tall,7,2,56.857,Sar_nat,Yes
Sl38,2,16S,Comparison,Gulf_Coast,EB2,NA,pitcher,Sarracenia,leucophylla,tall,8,0.5,4.737,Sar_nat,Yes
Sl39,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,leucophylla,tall,5,13,15.41,Sar_nat,NA
Sl40,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,leucophylla,tall,4.75,22,27.97,Sar_nat,NA
Sl41,2,both,Comparison,Gulf_Coast,WB,NA,pitcher,Sarracenia,leucophylla,tall,5,6.9,15.084,Sar_nat,Yes
SoilPPS01,2,both,Comparison,Gulf_Coast,PPS,NA,envmt,Soil,soil,NA,NA,7,30.16,Soil_Bog,Yes
SoilPPS03,2,both,Comparison,Gulf_Coast,PPS,NA,envmt,Soil,soil,NA,NA,7,5.867,Soil_Bog,Yes
SoilSH01,2,both,Comparison,Gulf_Coast,SH,NA,envmt,Soil,soil,NA,NA,7,20.092,Soil_Bog,Yes
Sp01,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,5,9.4,3.543,Sar_nat,Yes
Sp02,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,5,9.7,38.3,Sar_nat,NA
Sp03,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,10.9,28.5,Sar_nat,NA
Sp04,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.25,14,2.339,Sar_nat,Yes
Sp05,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.5,4,39.9,Sar_nat,NA
Sp06,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.5,43,2.55,Sar_nat,NA
Sp07,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4,6,1.245,Sar_nat,Yes
Sp08,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,10.8,2.886,Sar_nat,Yes
Sp09,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,3.5,3.5,2.078,Sar_nat,Yes
Sp10,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,10.5,1.35,Sar_nat,NA
Sp11,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,3,1.662,Sar_nat,Yes
Sp12,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,7.6,1.195,Sar_nat,Yes
Sp13,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.5,4.5,7.14,Sar_nat,NA
Sp14,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.5,18,2.424,Sar_nat,Yes
Sp15,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.75,9.8,2.25,Sar_nat,Yes
Sp16,2,18S,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,7,4.1,4.992,Sar_nat,Yes
Sp17,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,5,16,2.74,Sar_nat,NA
Sp18,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.5,11.9,8.2,Sar_nat,NA
Sp19,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,7,4.7,17.5,Sar_nat,NA
Sp20,2,both,Comparison,H_Forest,TS,NA,pitcher,Sarracenia,purpurea,squat,4.25,20,9.36,Sar_nat,NA
Sro02,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,5,20,7.708,Sar_nat,Yes
Sro04,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,4.5,24,2.589,Sar_nat,Yes
Sro07,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,4.75,13,4.396,Sar_nat,Yes
Sro08,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,7,6,37.885,Sar_nat,Yes
Sro09,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,5,5.1,1.013,Sar_nat,Yes
Sro10,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,7,11,11.241,Sar_nat,Yes
Sro11,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,4.5,22,1.508,Sar_nat,Yes
Sro12,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rosea,squat,6.5,17,50.893,Sar_nat,Yes
Sro14,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,rosea,squat,5.25,6,1.158,Sar_nat,Yes
Sro15,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,rosea,squat,5,4.8,144.138,Sar_nat,Yes
Sro16,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,rosea,squat,7,9.4,37.1,Sar_nat,Yes
Sro17,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,rosea,squat,5,8.5,1.464,Sar_nat,Yes
Sro18,2,both,Comparison,Gulf_Coast,MS,NA,pitcher,Sarracenia,rosea,squat,4.5,30,32.73,Sar_nat,Yes
Sro20,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,rosea,squat,4.25,7,3.84,Sar_nat,NA
Sro21,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,rosea,squat,7,5.4,1.6,Sar_nat,NA
Sro22,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,rosea,squat,5,7,56.537,Sar_nat,Yes
Sro23,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,rosea,squat,5,12,18.037,Sar_nat,Yes
Sro24,2,both,Comparison,Gulf_Coast,CB,NA,pitcher,Sarracenia,rosea,squat,4.25,27,3.81,Sar_nat,NA
Sro25,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,rosea,squat,5.5,10.1,10.713,Sar_nat,Yes
Sro26,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,rosea,squat,7,11.3,7.18,Sar_nat,NA
Sro27,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,rosea,squat,7.5,12.3,3.837,Sar_nat,Yes
Sro28,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,rosea,squat,7.5,27,2.124,Sar_nat,Yes
Sro30,2,both,Comparison,Gulf_Coast,PPS,NA,pitcher,Sarracenia,rosea,squat,5.5,8,1.038,Sar_nat,Yes
Sru01,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,5,0.5,2.571,Sar_nat,Yes
Sru02,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,4.75,2,1.373,Sar_nat,Yes
Sru03,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,7,0.4,23.025,Sar_nat,Yes
Sru04,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,5,12.4,1.48,Sar_nat,Yes
Sru05,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,5.25,0.6,4.831,Sar_nat,Yes
Sru06,2,both,Comparison,Gulf_Coast,SH,NA,pitcher,Sarracenia,rubra,tall,4.75,1.4,109.944,Sar_nat,Yes
Sru08,2,both,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,rubra,tall,5,0.2,2.112,Sar_nat,Yes
Sru09,2,16S,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,rubra,tall,7,3.9,59.785,Sar_nat,Yes
Sru10,2,16S,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,rubra,tall,7,2.9,30.145,Sar_nat,Yes
Sru12,2,both,Comparison,Gulf_Coast,EB1,NA,pitcher,Sarracenia,rubra,tall,8,0.8,56.124,Sar_nat,Yes
Sru14,2,both,Comparison,Gulf_Coast,EB2,NA,pitcher,Sarracenia,rubra,tall,8.5,0.3,5.457,Sar_nat,Yes
T1M1,1,18S,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,4.51472,Soil_Bog,NA
T1M2,1,18S,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,-0.01292,Soil_Bog,NA
T1M3,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,1.32408,Soil_Bog,NA
T1M4,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,0.3072,Soil_Bog,NA
T1M5,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,2.57436,Soil_Bog,NA
T1M6,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,2.00664,Soil_Bog,NA
T1M7,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,0.51548,Soil_Bog,NA
T1M8,1,both,Comparison,Singapore,KRP,NA,envmt,Soil,soil,NA,NA,7,0.5548,Soil_Bog,NA
T2M1,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,4.56432,Soil_Bog,NA
T2M2,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,8.98508,Soil_Bog,NA
T2M3,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,4.62612,Soil_Bog,NA
T2M4,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,2.76292,Soil_Bog,NA
T2M5,1,18S,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,0.47416,Soil_Bog,NA
T2M6,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,6.02532,Soil_Bog,NA
T2M7,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,4.13848,Soil_Bog,NA
T2M8,1,both,Comparison,Singapore,BTNP,NA,envmt,Soil,soil,NA,NA,7,3.47856,Soil_Bog,NA
T3M1,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,5.65784,Soil_Bog,NA
T3M2,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,4.246,Soil_Bog,NA
T3M3,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,1.33504,Soil_Bog,NA
T3M4,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,4.11648,Soil_Bog,NA
T3M5,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,5.02772,Soil_Bog,NA
T3M6,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,3.8578,Soil_Bog,NA
T3M7,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,2.33304,Soil_Bog,NA
T3M8,1,both,Comparison,Singapore,UPR,NA,envmt,Soil,soil,NA,NA,7,5.68328,Soil_Bog,NA
UNa02,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,5.5,1.6,1.747,Other,NA
UNa04,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.5,3.4,7.66,Other,NA
UNa05,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.75,4.6,10.4,Other,NA
UNa06,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.75,1.5,2.337,Other,NA
UNg01,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,5.5,7.4,2.11,Other,NA
UNg02,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,7.5,5.1,9.68,Other,NA
UNg04,2,16S,Comparison,Singapore,UPR,NA,tube,Tube,tube,squat,5.5,9.6,1.537,Other,NA
UNg07,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5,0.4,9.59,Other,NA
UNg08,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,7.5,5.4,14.9,Other,NA
UNg09,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.75,0.5,0.669,Other,NA
UNr01,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,5.5,2.6,NA,Other,NA
UNr02,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,5.5,10.5,1.77,Other,NA
UNr03,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,5.5,6.2,2.96,Other,NA
UNr04,2,both,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,7,7,7.18,Other,NA
UNr05,2,16S,Comparison,Singapore,BTNP,NA,tube,Tube,tube,squat,7.5,0.9,1.704,Other,NA
UNr10,2,both,Comparison,Singapore,UPR,NA,tube,Tube,tube,squat,5,5,2.2,Other,NA
UNr11,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.5,0.5,1.61,Other,NA
UNr12,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.5,1,9.03,Other,NA
UNr13,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.5,0.5,11.1,Other,NA
UNr14,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5,3.1,5.4,Other,NA
UNr15,2,both,Comparison,Singapore,KRP,NA,tube,Tube,tube,squat,5.25,3.9,0.911,Other,NA
UPRLwfilt,1,both,Comparison,Singapore,UPR,NA,envmt,Leaf,leaf,NA,NA,NA,0.03044,Other,NA
